key,group,subgroup,type,subtype
nat-hyd-mmw-sub,Natural,Hydrological,MassMovementWet,SuddenSubsidenceWet
nat-hyd-wav-rog,Natural,Hydrological,WaveAction,RogueWave
nat-hyd-wav-sei,Natural,Hydrological,WaveAction,Seiche
nat-met-ext-col,Natural,Meteorological,ExtremeTemperature,ColdWave
nat-met-ext-hea,Natural,Meteorological,ExtremeTemperature,HeatWave
nat-met-ext-sev,Natural,Meteorological,ExtremeTemperature,SevereWinterConditions
nat-met-fog-fog,Natural,Meteorological,Fog,Fog
nat-met-sto-bli,Natural,Meteorological,Storm,BlizzardWinterStorm
nat-met-sto-der,Natural,Meteorological,Storm,Derecho
nat-met-sto-ext,Natural,Meteorological,Storm,ExtraTropicalStorm
nat-met-sto-hai,Natural,Meteorological,Storm,Hail
nat-met-sto-lig,Natural,Meteorological,Storm,Lightning
nat-met-sto-san,Natural,Meteorological,Storm,SandDustStorm
nat-met-sto-sev,Natural,Meteorological,Storm,SevereWeather
nat-met-sto-sto,Natural,Meteorological,Storm,Storm
nat-met-sto-sur,Natural,Meteorological,Storm,StormSurge
nat-met-sto-tor,Natural,Meteorological,Storm,Tornado
nat-met-sto-tro,Natural,Meteorological,Storm,TropicalCyclone
tec-ind-che-che,Technological,IndustrialAccident,ChemicalSpill,ChemicalSpill
tec-ind-col-col,Technological,IndustrialAccident,CollapseIndustrial,CollapseIndustrial
tec-ind-exp-exp,Technological,IndustrialAccident,ExplosionIndustrial,ExplosionIndustrial
tec-ind-fir-fir,Technological,IndustrialAccident,FireIndustrial,FireIndustrial
tec-ind-gas-gas,Technological,IndustrialAccident,GasLeak,GasLeak
tec-ind-ind-ind,Technological,IndustrialAccident,IndustrialAccident,IndustrialAccident
tec-ind-oil-oil,Technological,IndustrialAccident,OilSpill,OilSpill
tec-ind-poi-poi,Technological,IndustrialAccident,Poisoning,Poisoning
tec-ind-rad-rad,Technological,IndustrialAccident,Radiation,Radiation
tec-mis-col-col,Technological,MiscellaneousAccident,CollapseMiscellaneous,CollapseMiscellaneous
tec-mis-exp-exp,Technological,MiscellaneousAccident,ExplosionMiscellaneous,ExplosionMiscellaneous
tec-mis-fir-fir,Technological,MiscellaneousAccident,FireMiscellaneous,FireMiscellaneous
tec-mis-mis-mis,Technological,MiscellaneousAccident,MiscellaneousAccident,MiscellaneousAccident
tec-tra-air-air,Technological,Transport,Air,Air
tec-tra-rai-rai,Technological,Transport,Rail,Rail
tec-tra-roa-roa,Technological,Transport,Road,Road
tec-tra-wat-wat,Technological,Transport,Water,Water
